Date,Open,High,Low,Close,Turnover,Volume
2019/12/19,10715.71,10716.03,10656.28,10710.18,342,10007.67
2019/12/20,10726.85,10740.21,10635.19,10644.55,308,9101.56
2019/12/23,10626.09,10746.01,10582.94,10606.54,313,9747.44
2019/12/24,10598.6,10637.31,10577.76,10602.26,272,8251.1
2019/12/25,10589.07,10597.29,10516.19,10590.97,319,10466.03
2019/12/26,10611.29,10692.34,10601.35,10692.3,406,10958.78
2019/12/27,10693.28,10741.3,10618.46,10624.73,393,12281.22
2019/12/30,10597.24,10675.29,10499.55,10661.85,349,10745.08
2019/12/31,10665.82,10945.31,10657.95,10907.05,531,16216.1
2020/1/2,10966.28,10966.28,10841.14,10905,591,17808.05
2020/1/3,10944.03,10953.7,10831.22,10868.87,459,15633.09
2020/1/6,10817.35,10867.82,10698.84,10749.42,539,18396.02
2020/1/7,10754.44,10902.56,10749.33,10900.42,492,14930.91
2020/1/8,10815.86,10863.15,10766.44,10793.21,436,12283.84
2020/1/9,10869.72,11086.95,10869.72,11072.03,507,17278.02
2020/1/10,11113.16,11174.31,11085.58,11134.89,438,14841.29
2020/1/13,11184.47,11205.64,11053.8,11205.64,457,15219.52
2020/1/14,11207.65,11212.74,11091.85,11095.38,415,14247.42
2020/1/15,11093.63,11224.11,11067.18,11132.26,394,12613.34
2020/1/16,11153.1,11157.96,11021.02,11143.93,461,14278.26
2020/1/17,11172.99,11371.36,11144.32,11317.02,665,21219.29
2020/1/20,11442.92,11498.8,11217.48,11389.29,770,23172.3
2020/1/21,11436.35,11619.39,11430.3,11501.06,958,26037.28
2020/1/22,11521.53,11536.12,11304,11389.69,649,18147.45
2020/1/23,11376.24,11445.7,10997.02,11099.13,758,21134.94
2020/2/3,10335.21,10812.58,10335.21,10578.96,1134,32137.19
2020/2/4,10604.05,10949.14,10533.08,10896.16,917,25609.4
2020/2/5,10989.16,11258.67,10926.12,11255.76,1181,31629.39
2020/2/6,11300.4,11700.59,11201.2,11579.75,1326,38305.88
2020/2/7,11628.51,11684.51,11295.72,11444.87,1188,30890.64
2020/2/10,11422.7,11422.7,11208.12,11328.88,854,22827.21
2020/2/11,11325.02,11433.66,11268.49,11371.25,653,18639.49
2020/2/12,11419.02,11549.63,11400.38,11545.75,583,18023.01
2020/2/13,11551.06,11551.06,11340.58,11427.15,754,19749.65
2020/2/14,11497.06,11543.69,11375.75,11447.78,809,20495.76
2020/2/17,11446.92,11651.84,11437.21,11617.1,759,20989.97
2020/2/18,11673.41,11704.08,11494.77,11538,736,20771.55
2020/2/19,11523.53,11525.49,11350.6,11354.53,674,18397.82
2020/2/20,11371.95,11512.83,11345.46,11498.54,592,17838.97
2020/2/21,11464.8,11571.78,11402.72,11531.69,616,18354.03
2020/2/24,11546.29,11554.58,11400.58,11486.8,685,21183.85
2020/2/25,11335.91,11649.44,11323.69,11569.41,893,25051.31
2020/2/26,11452.26,11454.98,11206.85,11232.89,708,21171.68
2020/2/27,11288.81,11375.54,11223.15,11299.29,470,15150.58
2020/2/28,11063.04,11217.21,10906.85,10946.49,666,20138.96
2020/3/2,11040.24,11249.25,10943.68,11184.81,524,16912.35
2020/3/3,11323.85,11610.64,11323.57,11477.88,679,22313.46
2020/3/4,11454.16,11506.29,11349.13,11506.29,507,15677.78
